X,Y
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.013056120000000001,0.0
0.026112240000000002,0.0
0.03916836,0.0
0.052224480000000004,0.0
0.06507336,0.0
0.07812948,0.0
0.0911856,0.0
0.10424172000000001,0.0
0.11729784,0.0
0.13035396000000002,0.0
0.14341008000000002,0.0
0.1564662,0.0
0.16952232,0.0
0.18257844,0.0
0.19542732000000002,0.0
0.20848344000000002,0.0
0.20848344000000002,0.0
0.23459568,0.0
0.2476518,0.0
0.26070792000000004,0.0
0.27376404000000004,0.0
0.28682016000000005,0.0
0.29987628000000005,0.0
0.31272516000000006,0.0
0.31272516000000006,0.0
0.3388374,0.0
0.35189352,0.0
0.36494964,0.0
0.37800576,0.0
0.39106188000000003,0.0
0.40411800000000003,0.0
0.41717412000000004,0.0
0.43023024000000004,0.0
0.44307912000000005,0.0
0.45613524,0.0
0.46919136,0.0
0.46919136,0.0
0.46919136,0.0
0.5083597200000001,0.0
0.5083597200000001,0.0
0.5214158400000001,0.0
0.5344719600000001,0.0
0.5344719600000001,0.0
0.5605842000000001,0.0
0.57343308,0.0
0.5864892,0.0
0.59954532,0.0
0.61260144,0.0
0.6256575600000001,0.0
0.6256575600000001,0.0
0.6256575600000001,0.0
0.63871368,0.0
0.63871368,0.0
0.66482592,0.0
0.67788204,0.0
0.69073092,0.0
0.70378704,0.0
0.71684316,0.0
0.72989928,0.0
0.7429554,0.0
0.75601152,0.0
0.76906764,0.0
0.7821237600000001,0.0
0.7951798800000001,0.0
0.7951798800000001,0.0
0.82108488,0.0
0.834141,0.0
0.834141,0.0
0.834141,0.0
0.8602532400000001,0.0
0.8602532400000001,0.0
0.88636548,0.0
0.8994216,0.0
0.91247772,0.0
0.92553384,0.0
0.9385899600000001,0.0
0.95143884,0.0
0.96449496,0.0
0.97755108,0.0
0.9906072,0.0
0.9906072,0.0
1.0167194400000001,0.0
1.02977556,0.0
1.0428316800000001,0.0
1.0558878,0.0
1.0558878,0.0
1.06873668,0.0
1.0817927999999999,0.0
1.09484892,0.0
1.10790504,0.0
1.12096116,0.0
1.13401728,0.0
1.1470734,0.0
1.16012952,0.0
1.16012952,0.0
1.18624176,0.0
1.18624176,0.0
1.2121467600000002,0.0
1.2121467600000002,0.0
1.2382590000000002,0.0
